twitterName,Player Name
@bathrugby,
@Dmjattwood,Dave Attwood
@Ry_caldwell,Ryan Caldwell
@DomDay5,Dominic Day
@CarlFearns,Carl Fearns
@StuHooper,Stuart Hooper
@Paul_James1,Paul James
@FloLouw,Francois Louw
@Mearsy02,Lee Mears
@GuyMercer,Guy Mercer
@kanokano123,Kane Palma-Newpor
@robwebber2,Rob Webber
@nick_abendanon,Nick Abendanon
@horacitoagulla,Horacio Agulla
@mattbanahan1,Matt Banahan
@Chris09cook,Chris Cook
@kyle_eastmond7,Kyle Eastmond
@TomHeathcote10,Tom Heathcote
@macca9,Mark McMillan
@samuelvesty,Sam Vesty
@benwilliams0,Ben Williams
@OllyWoodburn,Olly Woodburn
@OllieDevoto,Ollie Devoto
