,@ExeterChiefs
Simon Alcott,@SAlcock83
Jack Arnott,@JackArnott
Luke Arscott,@lukearscott
Gonzalo Camacho,@Gonza_Camacho
Will Carrick Smith,@wcarricksmi1
Will Chudley,@Will_Chudley
Joel Conlon,@joelconlon_8
Luke Cowan Dickie,@1_Dickie
Tom Cowan Dickie,@TomCowanDickie
Kieran Davies,@kdawg232
Phill Dollman,@philldollman
Lloyd Fairbrother,@CornishBarrel
James Hanks,@nigelhanks
Sam Hill,@SamHill_93
Kai Horstmann,@KaiHorstmann
Matt Jess,@mattjess14
Tom Johnson,@tomaj82
Ignacio Mieres,@cangumieres
Craig Mitchell,@CraigMitchell03
Aly Muldowney,@AlyMuldowney
Dean Mumm,@DeanMumm
Sireli Naqelevuki,@SNaqelevuki12
Jack Nowell,@Nowellsy15
James Phillips,@JamesPhillips86
Junior Poluleuligaga,@JIP2EZY
Carl Rimmer,@carlrimmercjr
James Scaysbrook,@jimscays
Jason Shoemark,@Shoeynz
Henry Slade,@Sladey_10
Gareth Steenson,@steeno10
Brett Sturgess,@sturgess1
Haydyn Thomas,@haydnthomas9
Damian Welch,@damiannw
Chris Whitehead,@chrissyw02
Jack Yeandle,@Yenz_2
