twitterName,Player Name
@gloucesterrugby,
@KoreeBritton,Koree Britton
@alex_browny,Alex Brown
@FreddieBurns,Freddie Burns
@6bucko,Peter Buxton 
@dariochistolini,Dario Chistolini
@cowan_jimmy,Jimmy Cowan
@coxymatt,Matt Cox
@Dtomm,Tommaso d'Apice
@HuiaEdmonds,Huia Edmonds
@Gs_Evans,Gareth Evans
@jimhamilton4,Jim Hamilton
@RupertHarden,Rupert Harden
@andyhazell,Andy Hazell
@Shaunkn1ght,Shaun Knight
@daveylewis89,Dave Lewis
@Ryan_Millzy,Ryan Mills
@themainmanmono,Shane Monahan
@Ben_J_Morgan8,Ben Morgan
@ollymorgs,Olly Morgan
@danmurphy2710,Dan Murphy
@d_jrobson,Dan Robson
@tc_savage,Tom Savage
@CharlieSharples,Charlie Sharples
@JSimpsonDaniel,James Simpson-Daniel
@tt_pt,Tim Taylor
@MartynThomas15,Martyn Thomas
@miketindall13,Mike Tindall
@HenryTrinder,Henry Trinder
@Billy_12trees,Billy Twelvetrees
@n1ckwood,Nick Wood
