twitterName,Player Name
@QuinsRugbyUnion,
@ben_botica,Ben Botica
@Chris_Brooker2,Chris Brooker
@mikebrown_15,Mike Brown
@Rob_Buchanan2,Rob Buchanan
@dannycare,Danny Care
@TomCasson,Tom Casson
@Chisholm_Ross,Ross Chisholm
@roryclegg,Rory Clegg
@William_Collier,Will Collier
@kdickson9,Karl Dickson
@nick_easter,Nick Easter
@nick10evans,Nick Evans
@Joe_Gray2,Joe Gray
@matthops1,Matt Hopper
@JayVJohnsto,James Johnston
@OllyKohn1,Olly Kohn
@marklambert3,Mark Lambert
@O_LindsayHague,Ollie Lindsay Hague
@Darryl_Marfo,Darryl Marfo
@CMatthews5,Charlie Matthews
@NicMayhew,Nic Mayhew
@ugomonye,Ugo Monye
@ChrisRobshaw,Chris Robshaw
@thegoatman5,George Robson
@samsmith_11,Sam Smith
@SebStegmann,Seb Stegmann
@lukey_wallace,Luke Wallace
@Dave_Ward2,Dave Ward
