twitterName,Player Name
@LeicesterTigers,Player Name
@anthonyallen3,Anthony Allen
@miayerza,Marcos Ayerza
@FraserBalmain,Fraser Balmain
@danbowden_,Dan Bowden
@KBrookes3,Kieran Brookes
@JoeCain92,Joe Cain
@castrito81,Martin Castrogiovanni
@george_chuter,George Chuter
@matthcornwell,Matt Cornwell
@JordanCrane86,Jordan Crane
@tomcroft6,Tom Croft
@LD4benefit,Louis Deacon
@tobyflood,Toby Flood
@George_Fordy,George Ford
@AndyForsyth,Andy Forsyth
@scotthamilton14,Scott Hamilton
@ShazamHarrison,Sam Harrison
@RobHawkins02,Rob Hawkins
@AlexLewington48,Alex Lewington
@geordanmurphy,Geordan Murphy
@george_oliver12,George Oliver
@PatrickPhibbs,Patrick Phibbs
@edslater,Ed Slater
@ScottSteele247,Scott Steele
@jimmydstevens1,Jimmy Stevens
@Symo10,Andy Symons
,Adam Thompstone
@RichardJAThorpe,Richard Thorpe
@Manutuilagi,Manu Tuilagi
@Micky_young88,Micky Young
