,@LiRFC
Joe Ansbro,
Guy Armitage,@GuyArmitage13
Alex Corbisiero,@AlexCorbs
Declan Danaher,@Declan_Danaher
Bryn Evans,@bryn_evans
Jonathan Fisher,@JonathanFisher6
Matt Garvey,@MattGarvey5
Conor Gaston,@ConorGaston15
Shane Geraghty,@Shane_Geraghty
Jamie Gibson,@JamieGibson6
Alex Gray,@AlexShaggyGray
Cai Griffiths,
Leo Halavatau,@leohalavatau
Tom Homer,@TDWHomer
Foster Horan,
Ian Humphreys,@iHumph
Jonathan Joseph,@Jonathanjoseph0
Max Lahiff,@MaxLahiff
Scott Lawson,@scottlawson02
Tomas O'Leary,@Tomas_OLeary
Topsy Ojo,@topsy_ojo
James Sandford,@JamesSandford4
Jebb Sinclair,@jebbsinclair
Sailosi Tagicakibau,@losi11
Marland Yarde,@YardeM
