twitterName,Player Name
@LondonWelshRFC,
@JoeAjuwa,Joe Ajuwa
@TomArscott,Tom Arscott
@bateman_g,Greg Bateman
@thebeach678,Lee Beach
@__Briggsy__,Neil Briggs
@Browndizzle8,Daniel Browne
@ADavies_10,Alex Davies
@Ryandavis_10,Ryan Davis
@mikedenbee,Mike Denbee
@DWGeorge86,Dan George
@Hillz_e,Michael Hills
@edjackson8,Ed Jackson
@SebbyJ10,Seb Jewell
@Brejnev13,Kirill Kulemin
@Phister13,Phil Mackenzie
@paul_mackeyno12,Paul Mackey
@billymoss13,Billy Moss
@sonnytoiparker,Sonny Parker
@nickscott1306,Nick Scott
@TomVoyce,Tom Voyce
@simonwhatling,Simon Whatling
@EdWins316,Ed Williamson
@Millzyneath,Jonathan Mills
