,@SaintsRugby
Scott Armstrong,@scottyarms86
Vasily Artemyev,@VA_rugby
Luther Burrell,@lutherburrell
Noah Cato,@NoahCato
Calum Clark,@Calumclark89
James Craig,@jimcraig5
Christian Day,@christianday83
Lee Dickson,@Dicko9
Paul Diggin,@Digger14
Paul Doran-Jones,@PaulDoranJones
Ben Foden,@ben_foden
Dylan Hartley,@DylanHartley
Ryan Lamb,@ryan_lamb
Courtney Lawes,@Courtney_Lawes
Samu Manoa,@Blockmonstahz
Tom May,@TomMay1
Stephen Myler,@StephenMyler
Ben Nutley,@BenNutley7
George Pisi,@georgepisi
Martin Roberts,@M_RO9BTS
Soane Tonga'uiha,@tongauiha
GJ Van Velze,@GjvanVelze
Dom Waldouck,@domwaldouck
Alex Waller,@waller12354
James Wilson,@_JamesWilson_
Tom Wood,@tomwood678
