,@Saracens
Chris Ashton,@ChrisAshton1
Nick Auterac,@nickauterac
Luke Baldwin,@LukeBaldwin9
Brad Barritt,@bradbarritt
Mouritz Botha,@mouritzbotha
Schalk Brits,@SchalkBrits
Kelly Brown,@kellydrbrown
Jacques Burger,@Nabasboer
Max Crumpton,@MaxCrumpton
Petrus du Plessis,@witstewolf
Nathan Earle,@natenate174
Owen Farrell,@owen_faz
Nick Fenton-Wells,@Nick_FW7
Will Fraser,@Will_Fraser89
Jamie George,@J_George2
Rhys Gill,@Rhysgill1
Matt Hankin,@Matt_Hankin
Alistair Hargreaves,@Al_Hargreaves
Charlie Hodgson,@hodgo10
Tom Jubb,@tjubb5
George Kruis,@GeorgeKruis
Nils Mordt,@NilsMordt
Adam Powell,@powelly1287
Ben Ransom,@ben_ransom
Jono Ross,@Jono__Ross
Andy Saull,@andysaull
Jared Saunders,@jar1ed
Eoin Sheriff,@Eoin_Sheriff
James Short,@JamesShort11
John Smit,@JohnSmit123
Ben Spencer,@Ben_spencer9
Scott Spurling,@scottspurling1
Sam Stanley,@Stanley_13
Matt Stevens,@Matt_Stevens3
David Strettle,@David_Strettle
Duncan Taylor,@duncantaylor3
Mako Vunipola,@Mako_Vunipola
Richard Wigglesworth,@rwiggy9
Jackson Wray,@JacksonWray
Chris Wyles,@ChrisWyles
