twitterName,Player Name
@WaspsRugby,
@James14Bailey,James Bailey
@_TommyBell,Tommy Bell
@_ChrisBell,Chris Bell
@James_Cannon5,James Cannon
@elliotdaly,Elliot Daly
@charliedavies_9,Charlie Davies
@Gemsbokjagter,Tinus Du Plessis
@jameshaskell,James Haskell
@ashj1605,Ashley Johnson
@SJ10Testimonial,Stephen Jones
@SF_Jones,Sam Jones
@joe_launch,Joe Launchbury
@TomLindsay2,Tom Lindsay
@andrea_masi,Andrea Masi
@ChrisMayor13,Chris Mayor
@SimonMcIntyre3,Simon McIntyre
@TomPalmer79,Tom Palmer
@timpayne_1,Tim Payne
@nickyrobo,Nick Robinson
@joesimpson9,Joe Simpson
@staibanofabio,Fabio Staibano
@S_Taulafo,Sakaria Taulafo
@Will_Tayls91,Will Taylor
@LewisThiede,Lewis Thiede
@trhysthomas,T Rhys Thomas
@Tom_Varndell,Tom Varndell
@ChristianWade3,Christian Wade
@wallace_jw,Jack Wallace
