twitterName,Player Name
@WorcsWarriors,
@Jake_Abbott,Jake Abbott
@JANDRESS84,John Andress
@j_arr,Jonny Arr
@joe_carlisle,Joe Carlisle
@ErrieClaassens,Errie Claasens
@jonclarke13,Jon Clarke
@Blair_CowanTC,Blair Cowan
@draunj85,Josh Drauniniu
@RFatiaki,Ravai Fatiaki
@Ollie_frost,Ollie Frost
@AndyGoode10,Andy Goode
@AlexGrove,Alex Grove
@Ollie2Hayes,Ollie Hayes
@paulhodgson9,Paul Hodgson
@mattkvesic,Matt Kvesic
@joshmatavesi,Josh Matavesi
@RobODonnell3,Rob O'Donnell
@chris_pennell,Chris Pennell
@ShaunPerry9,Shaun Perry
@george_porter1,George Porter
@Deanschof,Dean Schofield
@EddShervington,Ed Shervington
@andyjshort,Andy Short
@J_Currie3,James Currie
@chrisjonesrugby,Chris Jones
