,@unionargentina,,
Agustin Creevy,@agustincreevy ,Montpellier,@MHR_officiel
Agustin Gosio,,Unattached,Unattached
Alejandro Campos,@alecampos88 ,Unattached,Unattached
Alfredo Lalanne,,London Scottish, London Scottish
Chinchu Bustos,@chinchubustos ,Montpellier,@MHR_officiel
Felipe Contepomi,@felipecontepomi ,Stade Francais,@SFParisRugby
Genaro Fessia,,London Wasps,@WaspsRugby
Gonzalo Camacho,@Gonza_Camacho,Exeter Chiefs,@ExeterChiefs
Gonzalo Tiesi,@GonzaTiesi ,Stade Francais,@SFParisRugby
Horacio Agulla,@horacitoagulla ,Leicester Tigers,@LeicesterTigers
Juan Figallo,,Montpellier,@MHR_officiel
Juan José Imhoff,,Racing Metro,@RacingMetro92
Juan M. Leguizamon,@JMLegui ,Lyon,@LeLOURugby
Juan Martín Fernández Lobbe,,RC Toulon,@RCTofficiel
Julio Farías Cabello,,Pampas XV,@PampasXV
Leo Senatore,@LeoSenatore ,RC Toulon,@RCTofficiel
Lucas González A.,@LucasAmorosino ,Montpellier,@MHR_officiel
Manuel Carizza ,@manuchocarizza ,Biarritz,@BOPBweb
Marcelo Bosch,,Biarritz,@BOPBweb
Marcos Ayerza,@miayerza,Leicester Tigers,@LeicesterTigers
Mariano Galarza,,Pampas XV,@PampasXV
Martín Rodríguez,,Stade Francais,@SFParisRugby
Nicolás Sánchez,,Bordeaux,@UBBrugby
Nicolás Vergallo,,Stade Toulousain,@StadeToulousain
Patricio Albacete,@patoalbacete,Stade Toulousain,@StadeToulousain
Santiago Fernández,,Montpellier,@MHR_officiel
Tom Vallejos,@tomvallejos ,Harlequins,@QuinsRugbyUnion
