,@Official_RFU,,
Alex Corbisiero ,@AlexCorbs ,London Irish,@LiRFC
Anthony Allen,@anthonyallen3,Leicester Tigers,@LeicesterTigers
Ben Foden,@ben_foden ,Northampton Saints,@SaintsRugby
Ben Morgan,@Ben_J_Morgan8 ,Gloucester ,@gloucesterrugby
Ben Youngs,,Leicester Tigers,@LeicesterTigers
Brad Barritt,@bradbarritt ,Saracens,@Saracens
Calum Clark,@Calumclark89 ,Northampton Saints,@SaintsRugby
Charlie Sharples,@CharlieSharples ,Gloucester ,@gloucesterrugby
Chris Ashton,@ChrisAshton1 ,Saracens,@Saracens
Chris Robshaw,@ChrisRobshaw ,Harlequins,@QuinsRugbyUnion
David Strettle,@David_Strettle ,Saracens,@Saracens
Lee Dickson,@Dicko9 ,Northampton Saints,@SaintsRugby
Dylan Hartley,@DylanHartley ,Northampton Saints,@SaintsRugby
Freddie Burns,@FreddieBurns,Gloucester ,@gloucesterrugby
Joe Launchbury,@joe_launch,London Wasps,@WaspsRugby
Joe Marler,@Joe_Marler ,Harlequins,@QuinsRugbyUnion
Joe Simpson,@joesimpson9 ,London Wasps,@WaspsRugby
Mako Vunipola,@Mako_Vunipola,Saracens,@Saracens
Manusamoa Tuilagi,@Manutuilagi,Leicester Tigers,@LeicesterTigers
Mike Brown,@mikebrown_15 ,Harlequins,@QuinsRugbyUnion
Mouritz Botha,@mouritzbotha ,Saracens,@Saracens
Nick Wood,@n1ckwood,Gloucester ,@gloucesterrugby
Owen Farrell,@owen_faz ,Saracens,@Saracens
Rob Webber,@robwebber2 ,Bath,@bathrugby
Toby Flood,@tobyflood ,Leicester Tigers,@LeicesterTigers
Tom Johnson,@tomaj82,Exeter Chiefs,@ExeterChiefs
Tom Croft ,@tomcroft6 ,Leicester Tigers,@LeicesterTigers
Courtney Lawes,@Courtney_Lawes,Northampton Saints,@SaintsRugby
Dan Cole,,Leicester Tigers,@LeicesterTigers
David Paice,,London Irish,@LiRFC
David Wilson,,Bath,@bathrugby
Geoff Parling ,,Leicester Tigers,@LeicesterTigers
Jordan Turner-Hall,,Harlequins,@QuinsRugbyUnion
Phil Dowson,,Northampton Saints,@SaintsRugby
Tom Palmer,@TomPalmer79,London Wasps,@WaspsRugby
Tom Wood,,Northampton Saints,@SaintsRugby
James Haskell,@jameshaskell,London Wasps,@WaspsRugby
Alex Goode,,Saracens,@Saracens
Ugo Monye,@ugomonye,Harlequins,@QuinsRugbyUnion
Tom Biggs ,,Bath,@bathrugby
