,@FFRugby,,
William Servat,@WilliamServat,Stade Toulousain,@StadeToulousain
Dimitri Szarzewski,,,
David Attoub,@boubie92 ,Stade Francais,@SFParisRugby
Fabien Barcella,@BARCELLAFabien,Biarritz,@BOPBweb
Vincent Debaty,@debatyvincent,ASM Clermont Auvergne,@ASMOfficiel
Luc Ducalcon,,Castres,@CastresOlympiq
Nicolas Mas,,USA Perpignan,@usap_officiel
Jean-Baptiste Poux,,Stade Toulousain,@StadeToulousain
Yoann Maestri,,Stade Toulousain,@StadeToulousain
Pascal Pape,@pascalpape ,Stade Francais,@SFParisRugby
Julien Pierre,@JulienPierre4,ASM Clermont Auvergne,@ASMOfficiel
Thierry Dusautoir,,Stade Toulousain,@StadeToulousain
Yannick Nyanga,@YannickNyanga ,Stade Toulousain,@StadeToulousain
Fulgence Ouedraogo,@FufuOuedraogo ,Montpellier,@MHR_officiel
Imanol Harinordoquy,@imanolHARI ,Biarritz,@BOPBweb
Louis Picamoles,,Stade Toulousain,@StadeToulousain
Julien Dupuy,@juliendupuy9,Stade Francais,@SFParisRugby
Morgan Parra,,ASM Clermont Auvergne,@ASMOfficiel
Dimitri Yachvili,@DimitriYachvili ,Biarritz,@BOPBweb
Lionel Beauxis,,Stade Toulousain,@StadeToulousain
Fran�ois Trinh-Duc,,Montpellier,@MHR_officiel
Yann David,,Stade Toulousain,@StadeToulousain
Wesley Fofana,@wesleyfofana,ASM Clermont Auvergne,@ASMOfficiel
Florian Fritz,,Stade Toulousain,@StadeToulousain
Maxime Mermoz,@MaximeMermoz1 ,USA Perpignan,@usap_officiel
Aur�lien Rougerie,,ASM Clermont Auvergne,@ASMOfficiel
Jean-Marcellin Buttin,,ASM Clermont Auvergne,@ASMOfficiel
Vincent Clerc,@VincentClerc ,Stade Toulousain,@StadeToulousain
Julien Malzieu,@JulienMalzieu,ASM Clermont Auvergne,@ASMOfficiel
Alexis Palisson,@AlexisPalisson,RC Toulon,@RCTofficiel
Maxime Medard,@MaxMedard ,Stade Toulousain,@StadeToulousain
Clement Poitrenaud,@ClemPoitrenaud ,Stade Toulousain,@StadeToulousain
Ga�l Fickou,@FickouG,,
