,@irfurugby,,
Andrew Trimble,@andrew_trimble ,Ulster Rugby,@UlsterRugby
Michael Bent,@Benty425,Leinster Rugby,@leinsterrugby
Brett Wilkinson,@brettwilko1 ,Connacht Rugby,@connachtrugby
Brian O'Driscoll,@BrianODriscoll ,Leinster Rugby,@leinsterrugby
Craig Gilroy,@cgilroy14,Ulster Rugby,@UlsterRugby
Chris Henry,@chrishenry678 ,Ulster Rugby,@UlsterRugby
Conor Murray,@ConorMurray_9,Munster Rugby,@Munsterrugby
Dan Tuohy,@dan_tuohy,Ulster Rugby,@UlsterRugby
Darren Cave,@darrencave13,Ulster Rugby,@UlsterRugby
Declan Fitzpatrick,@DfizzyP,Ulster Rugby,@UlsterRugby
Fergus McFadden,@fergmcfadden,Leinster Rugby,@leinsterrugby
Iain Henderson,@HendersonIain,Ulster Rugby,@UlsterRugby
Jamie Heaslip,@jamieheaslip ,Leinster Rugby,@leinsterrugby
John Muldoon,@JohnMuldoon8,Connacht Rugby,@connachtrugby
Rob Kearney,@KearneyRob ,Leinster Rugby,@leinsterrugby
Kevin McLaughlin,@KMcLaughlin6,Leinster Rugby,@leinsterrugby
Luke Marshall,@lukemarshall121,Ulster Rugby,@UlsterRugby
Mike McCarthy,@mikemccarthy6,Connacht Rugby,@connachtrugby
Mike Ross,@MikeRoss03 ,Leinster Rugby,@leinsterrugby
Paddy Wallace,@paddywallace12 ,Ulster Rugby,@UlsterRugby
Paul O'Connell,@Paul_OConnell ,Munster Rugby,@Munsterrugby
Paul Marshall,@PaulMarshall9,Ulster Rugby,@UlsterRugby
Cian Healy,@ProperChurch ,Leinster Rugby,@leinsterrugby
Rhys Ruddock,@RhysRuddock ,Leinster Rugby,@leinsterrugby
Ronan O'Gara,@Ronan_OGara ,Munster Rugby,@Munsterrugby
Rory Best,@RoryBest2 ,Ulster Rugby,@UlsterRugby
Sean Cronin,@SeanCronin2 ,Leinster Rugby,@leinsterrugby
Sean O'Brien,@SeanOBrien1987 ,Leinster Rugby,@leinsterrugby
Simon Zebo,@SimonZebo ,Munster Rugby,@Munsterrugby
Stephen Ferris,@StephenFerris6 ,Ulster Rugby,@UlsterRugby
Tom Court,@TomCourt1 ,Ulster Rugby,@UlsterRugby
Tommy Bowe,@TommyBowe14 ,Ulster Rugby,@UlsterRugby
Dave Kilcoyne,,Munster Rugby,@Munsterrugby
David Kearney,,Leinster Rugby,@leinsterrugby
Denis Hurley,,Munster Rugby,@Munsterrugby
Donnacha Ryan,@DonnachaRyan,Munster Rugby,@Munsterrugby
Donncha O'Callaghan,,Munster Rugby,@Munsterrugby
Eoin O'Malley,,Leinster Rugby,@leinsterrugby
Eoin Reddan,,Leinster Rugby,@leinsterrugby
Gordon D'Arcy,,Leinster Rugby,@leinsterrugby
Jonathan Sexton,,Leinster Rugby,@leinsterrugby
Keith Earls,,Munster Rugby,@Munsterrugby
Peter O'Mahony,,Munster Rugby,@Munsterrugby
Richardt Strauss,,Leinster Rugby,@leinsterrugby
