,@Federugby,,
Tommaso D'Apice,@Dtomm ,Aironi Rugby,@Aironi_Rugby
Leonardo Ghiraldini,@LeoGhira ,Benetton Treviso,@BenettonRugby
Fabio Ongaro,@fabioongaro16 ,Aironi Rugby,@Aironi_Rugby
Martin Castrogiovanni,@castrito81,Leicester Tigers,@LeicesterTigers
Lorenzo Cittadini,,Benetton Treviso,@BenettonRugby
Alberto de Marchi,,Aironi Rugby,@Aironi_Rugby
Andrea Lo Cicero,@andrealocicero1,Racing Metro,@RacingMetro92
Michele Rizzo,,Benetton Treviso,@BenettonRugby
Fabio Staibano,@staibanofabio,Aironi Rugby,@Aironi_Rugby
Marco Bortolami,@MarcoBortolami ,Aironi Rugby,@Aironi_Rugby
Carlo del Fava,@Cdelfava,Aironi Rugby,@Aironi_Rugby
Joshua Furno,,Aironi Rugby,@Aironi_Rugby
Quintin Geldenhuys,,Aironi Rugby,@Aironi_Rugby
Antonio Pavanello,,Benetton Treviso,@BenettonRugby
Cornelius van Zyl,,Benetton Treviso,@BenettonRugby
Robert Barbieri,,Benetton Treviso,@BenettonRugby
Mauro Bergamasco,@MauroBergamasco ,Aironi Rugby,@Aironi_Rugby
Paul Derbyshire,,Benetton Treviso,@BenettonRugby
Simone Favaro,@FavaroSimone ,Aironi Rugby, Aironi
Alessandro Zanni,,Benetton Treviso,@BenettonRugby
Sergio Parisse,@sergioparisse ,Stade Francais,@SFParisRugby
Manoa Vosawai,,Benetton Treviso,@BenettonRugby
Edoardo Gori,,Benetton Treviso,@BenettonRugby
Fabio Semenzato,,Benetton Treviso,@BenettonRugby
Tobias Botes,,Benetton Treviso,@BenettonRugby
Kristopher Burton,,Benetton Treviso,@BenettonRugby
Luciano Orquera,,Aironi Rugby,@Aironi_Rugby
Tommaso Benvenuti,,Benetton Treviso,@BenettonRugby
Gonzalo Canale,@GonzaCanale ,ASM Clermont Auvergne,@ASMOfficiel
Luca Morisi,,Benetton Treviso,@BenettonRugby
Roberto Quartaroli,,Aironi Rugby,@Aironi_Rugby
Alberto Sgarbi,,Benetton Treviso,@BenettonRugby
Mirco Bergamasco,@MircoBergamasco ,Racing Metro,@RacingMetro92
Angelo Esposito,, Ruggers Tarvisium, Ruggers Tarvisium
Luke McLean,,Benetton Treviso,@BenettonRugby
Giovanbattista Venditti,,Aironi Rugby,@Aironi_Rugby
Giulio Toniolatti,,Aironi Rugby,@Aironi_Rugby
Andrea Masi,@andrea_masi ,London Wasps,@LondonWasps
