,@Scotlandteam,,
Alastair Kellock,@AlastairKellock ,Glasgow Warriors,@GlasgowWarriors
Alasdair Dickinson,@Ali_Dickinson ,Sale Sharks,@SaleSharksRugby
Chris Cusiter,@chriscusiter ,Glasgow Warriors,@GlasgowWarriors
David Denton,@dentweezy ,Edinburgh Rugby, @EdinburghRugby
Duncan Weir,@duncan_weir ,Edinburgh Rugby, @EdinburghRugby
Graeme Morrison,@gmorri ,Glasgow Warriors,@GlasgowWarriors
Grant Gilchrist,@GrantGilchrist,Edinburgh Rugby, @EdinburghRugby
Joe Ansbro,,London Irish,@LiRFC
Kyle Traynor,@KyleTraynor,Bristol,@Bristol_RFC
Lee Jones,@LeeJones11 ,Edinburgh Rugby, @EdinburghRugby
Matt Scott,@MattScott_10,Edinburgh Rugby, @EdinburghRugby
Max Evans,@maxevans13 ,Castres,@CastresOlympiq
Stuart McInally,@McInallyStuart,Edinburgh Rugby, @EdinburghRugby
Mike Blair,@mikeblair9 ,Edinburgh Rugby, @EdinburghRugby
Rory Lamont,@Rorylamont ,Glasgow Warriors,@GlasgowWarriors
Rory Lawson,@rorylawson9 ,Newcastle Falcons,@FalconsRugby
Ross Ford,@rossford2 ,Edinburgh Rugby, @EdinburghRugby
Ruaridh Jackson,@ruaridh_jackson ,Glasgow Warriors,@GlasgowWarriors
Ryan Grant,@ryangrant85,Glasgow Warriors,@GlasgowWarriors
Tom Ryder,@ryder_tom,Glasgow Warriors,@GlasgowWarriors
Stuart Hogg,,Glasgow Warriors,@GlasgowWarriors
Tim Visser,@timbovisser,Edinburgh Rugby, @EdinburghRugby
Tom Heathcote,@TomHeathcote10,Bath,@bathrugby
Tommy Seymour,@tommy_seymour14,Glasgow Warriors,@GlasgowWarriors
Alasdair Strokosch,,USA Perpignan,@usap_officiel
Dougie Hall,,Glasgow Warriors,@GlasgowWarriors
Ed Kalman,,Glasgow Warriors,@GlasgowWarriors
Euan Murray,,Newcastle Falcons,@FalconsRugby
Fraser McKenzie,,Sale Sharks,@SaleSharksRugby
Geoff Cross,,Edinburgh Rugby, @EdinburghRugby
Henry Pyrgos,,Glasgow Warriors,@GlasgowWarriors
Jack Cuthbert,,Bath,@bathrugby
Jim Hamilton,@jimhamilton4,Gloucester,@gloucesterrugby
John Barclay,@johnbarc86,Glasgow Warriors,@GlasgowWarriors
Matt Scott,,Edinburgh Rugby, @EdinburghRugby
Peter Horne,,Glasgow Warriors,@GlasgowWarriors
Peter Murchie,,Glasgow Warriors,@GlasgowWarriors
Richie Gray,,Sale Sharks,@SaleSharksRugby
Richie Vernon,@richievernon,Sale Sharks,@SaleSharksRugby
Rob Harley,,Glasgow Warriors,@GlasgowWarriors
Ross Rennie,,Edinburgh Rugby, @EdinburghRugby
Sean Lamont,,Llanelli Scarlets,@scarlets_rugby
Simon Danielli,,Ulster,@UlsterRugby
