,,,
Adney Mosese Uasila'a,, Toloa Old Boys,
Aleki Lutui,, Worcester Warriors,@WorcsWarriors
Alipate Fatafehi,, Lyon,@LeLOURugby
Apakuki Ma'afu,, Eastern Suburbs,
Eddie Paea,@EddiePaea, Northland,
Elvis Taione,, The Western Force,@thewesternforce
Fangatapu Apikotoa,, Coventry,
Fetu'u Vainikolo,, Connacht,@connachtrugby
Halani Aulika,, London Irish,@LiRFC
Hale T-Pole,@HaleT06, Northland,
Ilaisa Ma'asi,, Counties Manukau,
Joe Tuineau,, Aix-en-Provence,
Joshua Afu,, Sunnybank,
Mateo Malupo,, Northland,
Nili Latu,@Nili_Latu, Green Rockets,
Paula Kaho,@pk09teef, Canberra Vikings,
Samisoni Fisilau,, Northland,
Samisoni Masima,, Sila Pelu Ua,
Sione Piukala,,USA Perpignan,@usap_officiel
Sione Timani,,Llanelli Scarlets,@scarlets_rugby
Sione Vaiomo'unga,, Oxford Harlequins,
Sitaleki Lu'au,, Fasi Ma'ufanga,
Soane Tonga'uiha,@tongauiha, Northampton Saints,@SaintsRugby
Sona Taumalolo,@SonaTaumalolo,USA Perpignan,@usap_officiel
Steve Mafi,, Leicester Tigers,@LeicesterTigers
Suka Hufanga,, Newcastle Falcons,@FalconsRugby
Taniela Moa,, Pau,
Tevita Mailau,@MailauT, Mont-de-Marsan,@SMR_Rugby
Tukulua Lokotui,, Wellington,
Uamano Fono,, Tarbes,
Viliame Iongi,, Llanelli Scarlets,@scarlets_rugby
Viliami Helu,, Farul Constan?a,
Viliami Ma'afu,, North Harbour,
Vungakoto Lilo,, Tarbes,
