,@WelshRugbyUnion,,
Ian Evans,@__Yanto ,Ospreys,@ospreys
Aaron Jarvis,@aaronjarvis0,Ospreys,@ospreys
Aaron Shingler,@aaronshingler ,Llanelli Scarlets,@scarlets_rugby
Alex Cuthbert,@acuthbert11 ,Cardiff Blues,@cardiff_blues
Adam Jones,@adamjones3 ,Ospreys,@ospreys
Alun Wyn Jones,@AlunWynJones ,Ospreys,@ospreys
Andy Powell,@andypowell8 ,Sale Sharks,@SaleSharksRugby
Ashley Beck,@ashbeckz,Ospreys,@ospreys
Scott Andrews,@bubba_andrews,Cardiff Blues,@cardiff_blues
Dan Biggar,@dan_biggar,Ospreys,@ospreys
Dan Lydiate,@dan_lydiate ,Ospreys,@ospreys
George North,@George_North ,Llanelli Scarlets,@scarlets_rugby
Gethin Jenkins,@gethinjenkins1 ,RC Toulon,@RCTofficiel
Harry Robinson,@HarryRobinson25,Cardiff Blues,@cardiff_blues
Jamie Roberts,@Jamiehuwroberts ,Cardiff Blues,@cardiff_blues
Jonathan Daviews,@JonFoxDavies ,Llanelli Scarlets,@scarlets_rugby
Joshn Turnbull,@JoshTurn6ull,Llanelli Scarlets,@scarlets_rugby
Ken Owens,@kenctsowens ,Llanelli Scarlets,@scarlets_rugby
Leigh Halfpenny,@LeighHalfpenny1 ,Cardiff Blues,@cardiff_blues
Lloyd Williams,@LloydWilliams_,Cardiff Blues,@cardiff_blues
Matthew Rees,@Matthew_Rees_2 ,Llanelli Scarlets,@scarlets_rugby
Mike Phillips,@mikephillips009 ,Bayonne,@avironrugbypro
Paul James,@Paul_James1 ,Bath,@bathrugby
Rhys Priestland,@Rhys_Priestland ,Llanelli Scarlets,@scarlets_rugby
Rhys Gill,@Rhysgill1 ,Saracens,@Saracens
Rhys Webb,@RhysWebb ,Ospreys,@ospreys
Richard Hibbard,@richardhibbard2,Ospreys,@ospreys
Ryan Jones,@RyanJonesOnline ,Ospreys,@ospreys
Sam Warburton,@samwarburton_ ,Cardiff Blues,@cardiff_blues
Liam Williams,@SanjayWills,Llanelli Scarlets,@scarlets_rugby
Scott Williams,@ScottWilliams_1,Llanelli Scarlets,@scarlets_rugby
Toby Faletau,@taulupe,Newport Gwent Dragons,@dragonsrugby
Bradley Davies,,Cardiff Blues,@cardiff_blues
Craig Mitchell,@CraigMitchell03,Exeter Chiefs,@ExeterChiefs
James Hook,,USA Perpignan,@usap_officiel
Justin Tipuric,,Ospreys,@ospreys
Lou Reed,,Llanelli Scarlets,@scarlets_rugby
Samson Lee,,Llanelli Scarlets,@scarlets_rugby
Tavis Knoyle,,Ospreys,@ospreys
