,@cardiff_blues
Scott Andrews,@bubba_andrews
Marc Breeze,@Breezey_boy
Macauley Cook,@maccarugby91
Robin Copeland,@robocopey
Alex Cuthbert,@acuthbert11
James Down,@down_james
Dan Fish,@DanFish15
Leigh Halfpenny,@LeighHalfpenny1
Luke Hamilton,@lukehamilton6
Sam Hobbs,@Hobbknob
Andi Kyriacou,@AndiKyriacou
Josh Navidi,@Jnavidi
Andries Pretorius,@AndriesPret
Jamie Roberts,@Jamiehuwroberts
Harry Robinson,@HarryRobinson25
Jason Tovey,@jtov10
Sam Warburton,@samwarburton_
Lloyd Williams,@LloydWilliams_
Rhys Williams,@rhysmwillz
Cory Allen,@CoryAllen93
