,@connachtrugby
Finlay Bealham,@FinlayBealham
Denis Buckley,@DenisBuckley1
JP Cooney,@JPCooney213
Adrian Flavin,@adrianflavin
Eoghan Grace,@EoghanG7
Jason Harris-Wright,@jayharriswright
Matthew Jarvis,@MJarv10
Mick Kearney,@Mickkearney06
Kieran Marmion,@kieranmarmion
Mike McCarthy,@mikemccarthy6
Mark McCrea,@MarkMcCrea14
Eoin McKeon,@eoiny123
David McSharry,@davemcshaz
John Muldoon,@JohnMuldoon8
Johnny O'Connor,@Johnnyoc7
Gavin Duffy,@gavduffy15
Tiernan O'Halloran,@Tiernanoh11
Danie Poolman,@DaniePoolman
Danny Qualter,@Dannyqualter
Michael Swift,@mswift4
Brett Wilkinson,@brettwilko1
