,@dragonsrugby
Hallam Amos,@hallam_amos13
Tom Brown,@Tom_Browner8ﾠ
Nathan Buck,@BUCKLES_3
Andrew Coombs,@Coombs_Aﾠ
Aaron Coundley,@aaroncoundley
Nic Cudd,@Nic_Cudd
Jack Dixon,@jackdixon1312
Dan Evans,@DanEvs15
Lewis Evans,@Shanksey20ﾠ
Toby Faletau,@taulupe
Hugh Gustafson,@HughGus
Will Harries,@Will_Harries
Ieuan Jones,@ieuanjones08
Steffan Jones,@SteffanJones10
Dan Lydiate,@dan_lydiate
Ian Nimmo,@iannimmo5
Sam Parry,@SamParry2
Matthew Pewtner,@MatthewPewtner
Phil Price,@PhilPrice88
Tom Prydie,@TomPrydie
Lewis Robling,@lewisrobling
Hywel Stoddart,@Hywel_Stoddart
Josh Tyler,@Tiller5
Dan Watchurst,@DanWatch1
Nathan Williams,@gullynjw
