,@leinsterrugby
Michael Bent,@Benty425
Fionn Carr,@FionnCarr
Jordan Coghlan,@JordanCoghlan
Sam Coghlan Murray,@samcogmurray
John Cooney,@JCooney09
Sean Cronin,@SeanCronin2
Tom Denton,@todenton1
Jamie Hagan,@Hago_3
Cian Healy,@ProperChurch
Jamie Heaslip,@jamieheaslip
Dave Kearney,@kearney_dave
Rob Kearney,@KearneyRob
Brendan Macken,@brendan_macken
Ian Madigan,@Ian_madigan
Fergus McFadden,@fergmcfadden
Luke McGrath,@LukeMcGrath93
Kevin McLaughlin,@KMcLaughlin6
Jordi Murphy,@JordiMurphy1
Sean O'Brien,@SeanOBrien1987
Brian O'Driscoll,@BrianODriscoll
Noel Reid,@nreid90
Mike Ross,@MikeRoss03
Quinn Roux,@QuinnRoux
Rhys Ruddock,@RhysRuddock
Devin Toner,@DevinToner4
Heinke van der Merwe,@heinkevdm
