,@Munsterrugby
Danny Barnes,@DannyBarnes13
BJ Botha,@BJBotha
Paddy Butler,@paddybutler8
Scott Deasy,@scottdeasy10
Sean Dougall,@seandougall
James Downey,@jamesdowney23
JJ Hanrahan,@JjHanrahan
Sean Henry,@shenryy
Billy Holland,@billyholland
Felix Jones,@FelixJones15
Ian Keatley,@iankeatley
Casey Laulala,@LeCase23
Johne Murphy,@MurphyJohne
Conor Murray,@ConorMurray_9
Paul O'Connell,@Paul_OConnell
Tommy O'Donnell,@TommyoDonnell87
Barry O'Mahony,@OMahonyBarry
Niall Ronan,@durtburd
Donnacha Ryan,@DonnachaRyan
CJ Stander,@CJStander
Damien Varley,@VarleyDamien
Duncan Williams,@WilliamsDuncan
Simon Zebo,@SimonZebo
Ronan O'Gara,@RonanOGara10
