,@ospreys
Morgan Allen,@mogzy8
Scott Baldwin,@scottbaldwin2
Joe Bearman,@joebearman8
Ashley Beck,@ashbeckz
Ryan Bevington,@RyanBevington
Dan Biggar,@dan_biggar
Sam Davies,@samdavey1993
Hanno Dirksen,@Dirko31
Matt Dwyer,@mattdwyerno2
Artur Ellis,@ellis_arthur
Ian Evans,@__Yanto
Richard Fussell,@Richard_Fussell
Ian Gough,@VanGough4
Tom Grabham,@tom_grabz_9
Tom Habberfield,@tomhabbers
Richard Hibbard,@richardhibbard2
Rhodri Hughes,@rhodri_hughes5
Tommy Isaacs,@Tommy_Isaacs
Aaron Jarvis,@aaronjarvis0
Adam Jones,@adamjones3
Alun Wyn-Jones,@AlunWynJones
Ross Jones,@rossjones__
Ryan Jones,@RyanJonesOnline
James King,@James_d_king
Matthew Morgan,@matthewmorgan23
Scott Otten,@ScottOtten
Lloyd Peers,@lloydpeers91
Joe Rees,@joerees3
Geroge Stowers,@georgestowers
Nicky Thomas,@Nicky_Thomas3
Eli Walker,@EliWalker24
Rhys Webb,@RhysWebb
Owen Williams,@Owilliams91
