,@scarlets_rugby
Aled Davies,@aled009
Gareth Davies,@Gar_Davies9
Jonathan Davies,@JonFoxDavies
George Earle,@george_earle
Peter Edwards,@bigpete3
Andrew Fenby,@AndrewFenby
Joel Galley,@JoelGalley
Craig Hawkins,@stripperhawkins
Rhodri Jones,@rhodri_jones3
Richard Kelly,@r_kelly5
Deacon Manu,@deacon_manu
Gareth Maule,@GarethMaule
Rob McCusker,@robmccusker
Kieran Murphy,@Kieran_Murphy8
Kirby Myhill,@kirby_myhill
Dan Newton,@dannewts10
George North,@George_North
Gareth Owen,@xgaryowenx
Ken Owens,@kenctsowens
Emyr Phillips,@EmyrPhillips2
Kristian Phillips,@KrisPhills
Rhys Priestland,@Rhys_Priestland
Richie Pugh,@Richie_Pugh
Matthew Rees,@Matthew_Rees_2
Aaron Shingler,@aaronshingler
Morgan Stoddart,@MorganStoddart
Daniel Thomas,@Daniel_thomas93
Josh Turnbull,@JoshTurn6ull
Jordan Williams,@W10Jordan
Lee Williams,@leewills14
Liam Williams,@SanjayWills
Rhodri Williams,@RhodriWillss09
Scott Williams,@ScottWilliams_1
