,@UlsterRugby
Michael Allen,@MichaelAllen13
Niall Annett,@NiallAnnett2
Rory Best,@RoryBest2
Ali Birch,@AliBirch7
Callum Black,@callumblck
Tommy Bowe,@TommyBowe14
John Burns,@Burnsy_2
Darren Cave,@darrencave13
Chris Cochrane,@Chris_C_11
Tom Court,@TomCourt1
Adam D'Arcy,@adamdarcy
Robbie Diack,@Robbie_Diack
Sean Doyle,@seankdoyle
Chris Farrell,@Farrell_C93
Stephen Ferris,@StephenFerris6
Declan Fitzpatrick,@DfizzyP
Craig Gilroy,@cgilroy14
Michael Heaney,@MichaelHeaney9
Iain Henderson,@HendersonIain
Chris Henry,@chrishenry678
Paddy Jackson,@paddyjackson10
Richard Lutton,@rickylutton
Luke Marshall,@lukemarshall121
Paul Marshall,@PaulMarshall9
Paddy McAllister,@PaddyMcAllister
Neil McComb,@NeilMcComb4
Mike McComish,@smick19
Blane McIlroy,@_blane_
Peter Nelson,@PeterNelson_15
Niall O'Connor,@NiallOConnor10
Stuart Olding,@stuart_olding
Jared Payne,@thepain15
Lewis Stevenson,@StevensonLewis4
Andrew Trimble,@andrew_trimble
Dan Tuohy,@dan_tuohy
Paddy Wallace,@paddywallace12
Roger Wilson,@RogerWilson8
