@GlasgowWarriors,
@Germanaraoz,German Araoz
@adamashe93,Adam Ashe
@johnbarc86,John Barclay
@Nick_C_89,Nick Campbell
@bigq1,Michael Cusack
@chriscusiter,Chris Cusiter
@alexdunbar13 ,Alex Dunbar
@james_eddie,James Eddie
@chrisfusaro21,Chris Fusaro
@finlay_g,Finlay Gillies
@StuartWHOGG_15,Stuart Hogg
@Petehorne72,Pete Horne
@georgehunter31,George Hunter
@ruaridh_jackson,Ruaridh Jackson
@therealedkalman,Ed Kalman
@AlastairKellock,Alastair Kellock
@seanskennedy,Sean Kennedy
@Rorylamont,Rory Lamont
@moray_low,Moray Low
@patmacarthur,Pat McArthur
@NikolaLeka,Nikola Matawalu
@mmcconnell92,Murray McConnell
@ByronMacG,Byron McGuigan
@gmorri,Graeme Morrison
@TayParis3,Taylor Paris
@ryder_tom,Tom Ryder
@tommy_seymour14,Tommy Seymour
@JoshStrauss1,Josh Strauss
@Eff_Tee15,Fraser Thomson
@DTHVDM,DTH van der Merwe
@duncan_weir,Duncan Weir
@ryanwilson89,Ryan Wilson
@Gus_Macca,Angus MacDonald
