@UlsterRugby,
@MichaelAllen13,Michael Allen
@NiallAnnett2,Niall Annett
@RoryBest2,Rory Best
@AliBirch7,Ali Birch
@callumblck,Callum Black
@TommyBowe14,Tommy Bowe
@Burnsy_2,John Burns
@darrencave13,Darren Cave
@Chris_C_11,Chris Cochrane
@TomCourt1,Tom Court
@adamdarcy,Adam D'Arcy
@Robbie_Diack,Robbie Diack
@seankdoyle,Sean Doyle
@Farrell_C93,Chris Farrell
@StephenFerris6,Stephen Ferris
@DfizzyP,Declan Fitzpatrick
@cgilroy14,Craig Gilroy
@MichaelHeaney9,Michael Heaney
@HendersonIain,Iain Henderson
@chrishenry678,Chris Henry
@paddyjackson10,Paddy Jackson
@rickylutton,Richard Lutton
@lukemarshall121,Luke Marshall
@PaulMarshall9,Paul Marshall
@PaddyMcAllister,Paddy McAllister
@NeilMcComb4,Neil McComb
@smick19,Mike McComish
@_blane_,Blane McIlroy
@PeterNelson_15,Peter Nelson
@NiallOConnor10,Niall O'Connor
@stuart_olding,Stuart Olding
@thepain15,Jared Payne
@StevensonLewis4,Lewis Stevenson
@andrew_trimble,Andrew Trimble
@dan_tuohy,Dan Tuohy
@paddywallace12,Paddy Wallace
@RogerWilson8,Roger Wilson
