,@thewesternforce
Richard Brown,@rickobrown
Nathan Charles,@NathanCharles2
Angus Cottrell,@AngusCottrell
Pekahou Cowan,@Pekcowan
Nick Cummins,@nckcmmns
Paddy Dellit,@PaddyDellit
Matt Hodgson,@matthodgson678
Kieran Longbottom,@kmanlongbottom
Alfie Mafi,@AlfieMafi
Salesi Manu,@SalesiManu
Alby Mathewson,@AlbyMathewson
Lachlan McCaffrey,@LockyMcCaffrey
Ben McCalman,@BenMcCalman
Junior Rasolea,@juniorrasolea
Brett Sheehan,@brett_sheehan
Mick Snowden,@MickSnowden
Ed Stubbs,@EdStubbs12
Rory Walton,@rorywalton4
Ben Whittaker,@BenWhitt2
Sam Wykes,@SamWykes4
Salesi Ma'afu,@SalesiMaafu
